C-SDB_TIT-0;C-W96-0;C-SDB_BBTR-0;F-ANK;F-UEB
201908;W96-8;70;29638;104229
201908;W96-8;81;5375;11616
201908;W96-8;73;2281;13080
201908;W96-8;76;60;250
201908;W96-8;83;29667;30959
201908;W96-8;84;7420;36725
201908;W96-8;60;6125;28558
201908;W96-8;61;859;3960
201908;W96-8;86;26692;186671
201908;W96-8;87;4086;30466
201908;W96-9;1;407995;921760
201908;W96-9;2;215547;478125
201908;W96-9;3;62417;132807
201908;W96-9;4;29386;90158
201908;W96-9;70;11797;31315
201908;W96-9;81;38361;79823
201908;W96-9;60;5903;17994
201908;W96-9;86;19014;66729
201909;W96-1;1;43900;102536
201909;W96-1;2;25947;58286
201909;W96-1;3;4799;11698
201909;W96-1;4;1227;3817
201909;W96-1;70;13651;46485
201909;W96-1;81;759;1972
201909;W96-1;73;118;449
201909;W96-1;71;420;10480
201909;W96-1;76;1855;27783
201909;W96-1;84;991;2039
201909;W96-1;60;4431;12051
201909;W96-1;61;2662;8553
201909;W96-1;86;3082;13150
201909;W96-1;87;482;2539
201909;W96-2;1;108944;356841
201909;W96-2;2;78778;217272
201909;W96-2;3;17633;50963
201909;W96-2;4;15646;84370
201909;W96-2;70;42252;231437
201909;W96-2;81;4492;10094
201909;W96-2;73;191;796
201909;W96-2;71;1247;23693
201909;W96-2;76;1060;15756
201909;W96-2;83;4628;5037
201909;W96-2;84;6518;27884
201909;W96-2;60;6066;24023
201909;W96-2;61;1563;7606
201909;W96-2;86;11300;73541
201909;W96-2;87;2291;17320
201909;W96-3;1;135083;255503
201909;W96-3;2;92572;174326
201909;W96-3;3;31941;67543
201909;W96-3;4;3231;8117
201909;W96-3;70;10623;28577
201909;W96-3;81;4152;8718
201909;W96-3;71;1039;22469
201909;W96-3;76;3418;57353
201909;W96-3;83;3607;3813
201909;W96-3;84;16562;38788
201909;W96-3;60;13181;34476
201909;W96-3;61;7706;19598
201909;W96-3;86;4594;16736
201909;W96-3;87;2097;6907
201909;W96-4;1;118938;244837
201909;W96-4;2;85365;168889
201909;W96-4;3;40237;90272
201909;W96-4;4;5320;19874
201909;W96-4;70;12629;32097
201909;W96-4;81;8568;15303
201909;W96-4;73;3387;7658
201909;W96-4;71;2440;57920
201909;W96-4;76;2620;26524
201909;W96-4;83;7015;7518
201909;W96-4;84;11033;26415
201909;W96-4;60;9316;29091
201909;W96-4;61;2569;10216
201909;W96-4;86;9034;29905
201909;W96-4;87;3290;14076
201909;W96-5;1;272385;764441
201909;W96-5;2;155953;415130
201909;W96-5;3;42106;86861
201909;W96-5;4;28261;136065
201909;W96-5;70;18828;65361
201909;W96-5;81;9414;17546
201909;W96-5;73;10736;38117
201909;W96-5;71;1104;25659
201909;W96-5;76;1787;29640
201909;W96-5;83;6585;13392
201909;W96-5;84;10151;25112
201909;W96-5;60;10109;37642
201909;W96-5;61;4534;23304
201909;W96-5;86;20781;109467
201909;W96-5;87;6735;41950
201909;W96-6;1;153766;403580
201909;W96-6;2;119121;287112
201909;W96-6;3;21783;49247
201909;W96-6;4;17372;60042
201909;W96-6;70;18667;49455
201909;W96-6;81;9372;18101
201909;W96-6;73;1440;4065
201909;W96-6;71;914;20250
201909;W96-6;76;2125;31734
201909;W96-6;83;8795;10746
201909;W96-6;84;8321;28087
201909;W96-6;60;14871;48635
201909;W96-6;61;10701;32642
201909;W96-6;86;11014;54308
201909;W96-6;87;3361;16107
201909;W96-7;1;393116;1356650
201909;W96-7;2;211759;665326
201909;W96-7;3;110388;293837
201909;W96-7;4;45398;227434
201909;W96-7;70;44550;151392
201909;W96-7;81;4516;8362
201909;W96-7;73;2457;5903
201909;W96-7;71;176;3051
201909;W96-7;76;278;3122
201909;W96-7;83;56171;71963
201909;W96-7;84;9814;29021
201909;W96-7;60;20223;87967
201909;W96-7;61;6986;35983
201909;W96-7;86;54246;336773
201909;W96-7;87;11046;71902
201909;W96-8;1;80891;215775
201909;W96-8;2;45377;138188
201909;W96-8;3;18161;48194
201909;W96-8;4;9069;44639
201909;W96-8;70;10593;41456
201909;W96-8;81;3736;8318
201909;W96-8;73;1796;5345
201909;W96-8;76;260;492
201909;W96-8;83;12708;13248
201909;W96-8;84;8813;25773
201909;W96-8;60;3796;17425
201909;W96-8;61;636;2447
201909;W96-8;86;15232;83386
201909;W96-8;87;2115;12224
201909;W96-9;1;366727;772335
201909;W96-9;2;186126;410417
201909;W96-9;3;48444;109945
201909;W96-9;4;20354;60181
201909;W96-9;70;3286;11456
201909;W96-9;81;31471;74281
201909;W96-9;60;4480;14103
201909;W96-9;86;14610;54330
201910;W96-1;1;49744;109966
201910;W96-1;2;18521;36328
201910;W96-1;3;2651;5838
201910;W96-1;4;1011;2403
201910;W96-1;70;4209;10551
201910;W96-1;81;737;1303
201910;W96-1;73;5;10
201910;W96-1;71;492;12073
201910;W96-1;76;2135;29069
201910;W96-1;84;540;1050
201910;W96-1;60;2660;5634
201910;W96-1;61;1544;3726
201910;W96-1;86;1933;6294
201910;W96-1;87;355;1218
201910;W96-2;1;74682;213226
201910;W96-2;2;33468;74276
201910;W96-2;3;7193;20268
201910;W96-2;4;4404;21853
201910;W96-2;70;5914;21921
201910;W96-2;81;2847;5661
201910;W96-2;71;1378;24261
201910;W96-2;76;1633;25827
201910;W96-2;83;151;326
201910;W96-2;84;2511;12037
201910;W96-2;60;2435;10228
201910;W96-2;61;628;3441
201910;W96-2;86;4282;24756
201910;W96-2;87;1066;7581
201910;W96-3;1;136680;260618
201910;W96-3;2;79409;151831
201910;W96-3;3;26990;58820
201910;W96-3;4;2680;7041
201910;W96-3;70;4810;13032
201910;W96-3;81;3027;6460
201910;W96-3;71;1160;22700
201910;W96-3;76;4056;60173
201910;W96-3;83;2368;2412
201910;W96-3;84;10911;27584
201910;W96-3;60;9685;26544
201910;W96-3;61;5753;15487
201910;W96-3;86;3023;10965
201910;W96-3;87;1770;6168
201910;W96-4;1;114250;231274
201910;W96-4;2;71367;134428
201910;W96-4;3;29379;69827
201910;W96-4;4;3818;12748
201910;W96-4;70;2802;7739
201910;W96-4;81;6833;12552
201910;W96-4;73;2737;7334
201910;W96-4;71;3259;75227
201910;W96-4;76;2807;27375
201910;W96-4;83;2714;2766
201910;W96-4;84;8065;20257
201910;W96-4;60;7355;23007
201910;W96-4;61;1831;7278
201910;W96-4;86;7299;18893
201910;W96-4;87;2248;8851
201910;W96-5;1;245821;606771
201910;W96-5;2;104033;224196
201910;W96-5;3;33853;64430
201910;W96-5;4;22857;100841
201910;W96-5;70;7203;23849
201910;W96-5;81;7082;14813
201910;W96-5;73;4560;18543
201910;W96-5;71;1334;28562
201910;W96-5;76;1980;31642
201910;W96-5;83;2916;5351
201910;W96-5;84;8450;19029
201910;W96-5;60;6378;21619
201910;W96-5;61;2598;14039
201910;W96-5;86;14157;66367
201910;W96-5;87;4597;25346
201910;W96-6;1;151045;362758
201910;W96-6;2;88434;198046
201910;W96-6;3;17459;38385
201910;W96-6;4;13281;41715
201910;W96-6;70;5817;19623
201910;W96-6;81;6686;14676
201910;W96-6;73;817;1939
201910;W96-6;71;1159;25202
201910;W96-6;76;2440;32504
201910;W96-6;83;2681;3182
201910;W96-6;84;6664;21592
201910;W96-6;60;11697;39111
201910;W96-6;61;10077;28661
201910;W96-6;86;8656;35671
201910;W96-6;87;3068;12279
201910;W96-7;1;341957;1106038
201910;W96-7;2;131884;374116
201910;W96-7;3;73170;179878
201910;W96-7;4;39448;173260
201910;W96-7;70;25126;85930
201910;W96-7;81;3889;7641
201910;W96-7;73;2415;7515
201910;W96-7;71;186;3161
201910;W96-7;76;160;2413
201910;W96-7;83;8616;11004
201910;W96-7;84;6370;16833
201910;W96-7;60;10488;45050
201910;W96-7;61;3805;19421
201910;W96-7;86;44069;231895
201910;W96-7;87;9745;55685
201910;W96-8;1;71657;189976
201910;W96-8;2;28089;83376
201910;W96-8;3;11818;30866
201910;W96-8;4;8013;36973
201910;W96-8;70;4964;18359
201910;W96-8;81;3838;8784
201910;W96-8;73;1366;3854
201910;W96-8;76;124;194
201910;W96-8;83;1868;2026
201910;W96-8;84;7952;24962
201910;W96-8;60;2345;9198
201910;W96-8;61;306;1298
201910;W96-8;86;12629;56370
201910;W96-8;87;2164;10563
201910;W96-9;1;401015;828555
201910;W96-9;2;187348;407426
201910;W96-9;3;46284;101372
201910;W96-9;4;25585;77517
201910;W96-9;70;903;3645
201910;W96-9;81;32134;76109
201910;W96-9;60;4418;14410
201910;W96-9;86;14993;55038
201911;W96-1;1;47917;106050
201911;W96-1;2;14239;25869
201911;W96-1;3;1805;4162
201911;W96-1;4;1087;2246
201911;W96-1;70;354;746
201911;W96-1;81;480;763
201911;W96-1;73;24;34
201911;W96-1;71;419;11842
201911;W96-1;76;1910;28147
201911;W96-1;84;329;786
201911;W96-1;60;2448;4677
201911;W96-1;61;1418;2802
201911;W96-1;86;1903;4879
201911;W96-1;87;330;817
201911;W96-2;1;42537;103462
201911;W96-2;2;19660;36936
201911;W96-2;3;4244;12289
201911;W96-2;4;1839;7762
201911;W96-2;70;527;1494
201911;W96-2;81;1449;2827
201911;W96-2;73;5;16
201911;W96-2;71;1199;23212
201911;W96-2;76;945;16083
201911;W96-2;83;5;5
201911;W96-2;84;1781;5374
201911;W96-2;60;1498;6473
201911;W96-2;61;159;879
201911;W96-2;86;1897;10607
201911;W96-2;87;297;2422
201911;W96-3;1;108541;208384
201911;W96-3;2;53895;104934
201911;W96-3;3;17250;39606
201911;W96-3;4;1306;4897
201911;W96-3;70;357;925
201911;W96-3;81;1560;3811
201911;W96-3;71;1056;22633
201911;W96-3;76;3504;57583
201911;W96-3;83;383;385
201911;W96-3;84;8396;22962
201911;W96-3;60;6134;18187
201911;W96-3;61;2943;8107
201911;W96-3;86;1739;7521
201911;W96-3;87;881;3118
201911;W96-4;1;95887;186498
201911;W96-4;2;54151;98739
201911;W96-4;3;19470;46729
201911;W96-4;4;2366;8616
201911;W96-4;70;638;1611
201911;W96-4;81;3978;6988
201911;W96-4;73;1259;3490
201911;W96-4;71;2515;58463
201911;W96-4;76;2685;25927
201911;W96-4;83;184;189
201911;W96-4;84;7433;16770
201911;W96-4;60;3906;12857
201911;W96-4;61;1369;4308
201911;W96-4;86;3695;9947
201911;W96-4;87;797;3309
201911;W96-5;1;158188;314450
201911;W96-5;2;67385;127003
201911;W96-5;3;22396;39802
201911;W96-5;4;11450;40083
201911;W96-5;70;1071;5386
201911;W96-5;81;5329;12435
201911;W96-5;73;1809;5376
201911;W96-5;71;1010;24955
201911;W96-5;76;1768;30069
201911;W96-5;83;208;686
201911;W96-5;84;6227;13114
201911;W96-5;60;3152;10504
201911;W96-5;61;797;5323
201911;W96-5;86;5945;26698
201911;W96-5;87;1234;6956
201911;W96-6;1;126225;290748
201911;W96-6;2;55937;112307
201911;W96-6;3;11811;23316
201911;W96-6;4;6265;19140
201911;W96-6;70;609;2014
201911;W96-6;81;4360;9110
201911;W96-6;73;427;718
201911;W96-6;71;891;21242
201911;W96-6;76;1920;29476
201911;W96-6;83;331;417
201911;W96-6;84;4817;17513
201911;W96-6;60;6773;22403
201911;W96-6;61;3576;8002
201911;W96-6;86;3601;14199
201911;W96-6;87;897;3603
201911;W96-7;1;208832;537441
201911;W96-7;2;79334;186841
201911;W96-7;3;42425;92859
201911;W96-7;4;26569;91789
201911;W96-7;70;2930;9622
201911;W96-7;81;1419;2944
201911;W96-7;73;1354;3350
201911;W96-7;71;169;3061
201911;W96-7;76;116;1961
201911;W96-7;83;1557;3239
201911;W96-7;84;3810;9590
201911;W96-7;60;6895;25358
201911;W96-7;61;1579;8093
201911;W96-7;86;28346;122452
201911;W96-7;87;3514;18204
201911;W96-8;1;42606;90707
201911;W96-8;2;13336;26943
201911;W96-8;3;5591;11694
201911;W96-8;4;1041;4074
201911;W96-8;70;754;6131
201911;W96-8;81;1380;3255
201911;W96-8;73;491;993
201911;W96-8;76;131;245
201911;W96-8;83;93;385
201911;W96-8;84;3073;7426
201911;W96-8;60;695;2049
201911;W96-8;61;96;213
201911;W96-8;86;2920;10666
201911;W96-8;87;338;1288
201911;W96-9;1;362991;734921
201911;W96-9;2;172046;362870
201911;W96-9;3;44959;92619
201911;W96-9;4;21659;62304
201911;W96-9;70;178;1437
201911;W96-9;81;28275;60816
201911;W96-9;60;3592;11261
201911;W96-9;86;12730;44065
201912;W96-1;1;41276;92282
201912;W96-1;2;7803;14545
201912;W96-1;3;816;1617
201912;W96-1;4;704;1553
201912;W96-1;70;31;49
201912;W96-1;81;186;271
201912;W96-1;73;4;11
201912;W96-1;71;283;9932
201912;W96-1;76;1691;24854
201912;W96-1;84;135;381
201912;W96-1;60;1306;2341
201912;W96-1;61;140;315
201912;W96-1;86;1026;2484
201912;W96-1;87;123;390
201912;W96-2;1;74182;230710
201912;W96-2;2;40173;113095
201912;W96-2;3;7513;22657
201912;W96-2;4;19531;83230
201912;W96-2;70;2195;8162
201912;W96-2;81;2888;6745
201912;W96-2;73;540;2233
201912;W96-2;71;1251;21518
201912;W96-2;76;620;12003
201912;W96-2;83;162;411
201912;W96-2;84;2006;8638
201912;W96-2;60;3176;11448
201912;W96-2;61;723;2804
201912;W96-2;86;15292;67625
201912;W96-2;87;2954;14215
201912;W96-3;1;100468;199485
201912;W96-3;2;56958;107550
201912;W96-3;3;17868;40027
201912;W96-3;4;1768;5510
201912;W96-3;70;227;955
201912;W96-3;81;1079;2614
201912;W96-3;71;815;19940
201912;W96-3;76;3578;53255
201912;W96-3;83;466;633
201912;W96-3;84;6469;17374
201912;W96-3;60;5478;16744
201912;W96-3;61;2177;6912
201912;W96-3;86;2568;9306
201912;W96-3;87;843;3349
201912;W96-4;1;95558;198780
201912;W96-4;2;54270;104393
201912;W96-4;3;21776;48806
201912;W96-4;4;4974;17178
201912;W96-4;70;666;2006
201912;W96-4;81;2820;5692
201912;W96-4;73;1628;5893
201912;W96-4;71;1838;46686
201912;W96-4;76;2327;20272
201912;W96-4;83;969;1744
201912;W96-4;84;6153;14653
201912;W96-4;60;5148;15310
201912;W96-4;61;1345;4824
201912;W96-4;86;7664;22055
201912;W96-4;87;2172;8219
201912;W96-5;1;299496;918602
201912;W96-5;2;168182;509759
201912;W96-5;3;43732;110841
201912;W96-5;4;79308;367453
201912;W96-5;70;5930;31037
201912;W96-5;81;9006;23858
201912;W96-5;73;26834;118354
201912;W96-5;71;636;19051
201912;W96-5;76;1413;23906
201912;W96-5;83;1389;4354
201912;W96-5;84;11194;27252
201912;W96-5;60;15267;60299
201912;W96-5;61;6794;31624
201912;W96-5;86;61491;293376
201912;W96-5;87;15969;78240
201912;W96-6;1;137449;360018
201912;W96-6;2;78646;205239
201912;W96-6;3;18011;43273
201912;W96-6;4;32436;130194
201912;W96-6;70;1483;6328
201912;W96-6;81;5393;11144
201912;W96-6;73;720;2116
201912;W96-6;71;882;19973
201912;W96-6;76;1762;27464
201912;W96-6;83;1121;2630
201912;W96-6;84;4324;17515
201912;W96-6;60;8402;27820
201912;W96-6;61;3451;12467
201912;W96-6;86;17841;75453
201912;W96-6;87;3497;14336
201912;W96-7;1;430821;1591695
201912;W96-7;2;198354;695472
201912;W96-7;3;105320;374721
201912;W96-7;4;114505;540014
201912;W96-7;70;19169;89048
201912;W96-7;81;4202;12387
201912;W96-7;73;2677;10146
201912;W96-7;71;187;3147
201912;W96-7;76;219;1498
201912;W96-7;83;3686;7209
201912;W96-7;84;7112;21643
201912;W96-7;60;30512;126234
201912;W96-7;61;8800;39603
201912;W96-7;86;152811;758256
201912;W96-7;87;23102;117058
201912;W96-8;1;82080;267929
201912;W96-8;2;36278;125922
201912;W96-8;3;12260;38009
201912;W96-8;4;14628;70157
201912;W96-8;70;3545;21557
201912;W96-8;81;2187;6020
201912;W96-8;73;1098;3367
201912;W96-8;76;133;426
201912;W96-8;83;932;1658
201912;W96-8;84;5527;20252
201912;W96-8;60;5092;21278
201912;W96-8;61;563;2422
201912;W96-8;86;26367;128688
201912;W96-8;87;2955;14435
201912;W96-9;1;416371;923355
201912;W96-9;2;193066;435599
201912;W96-9;3;55033;116889
201912;W96-9;4;29443;85973
201912;W96-9;70;496;2205
201912;W96-9;81;33180;73599
201912;W96-9;60;5145;15630
201912;W96-9;86;18494;63551
202001;W96-1;1;37246;85319
202001;W96-1;2;6569;13557
202001;W96-1;3;1303;2636
202001;W96-1;4;786;1757
202001;W96-1;70;26;45
202001;W96-1;81;272;390
202001;W96-1;73;5;9
202001;W96-1;71;495;10295
202001;W96-1;76;1986;25633
202001;W96-1;84;170;515
202001;W96-1;60;1029;1995
202001;W96-1;61;250;436
202001;W96-1;86;941;2480
202001;W96-1;87;86;286
202001;W96-2;1;77211;300219
202001;W96-2;2;46283;172512
202001;W96-2;3;8237;31252
202001;W96-2;4;22498;132433
202001;W96-2;70;1197;6440
202001;W96-2;81;4469;18313
202001;W96-2;73;2346;11477
202001;W96-2;71;1422;22407
202001;W96-2;76;1158;15976
202001;W96-2;83;276;877
202001;W96-2;84;5230;24744
202001;W96-2;60;3105;13285
202001;W96-2;61;508;3209
202001;W96-2;86;15761;95721
202001;W96-2;87;2629;16593
202001;W96-3;1;83873;170789
202001;W96-3;2;45619;96312
202001;W96-3;3;17512;42856
202001;W96-3;4;1353;4908
202001;W96-3;70;137;1706
202001;W96-3;81;1771;4489
202001;W96-3;71;1193;20733
202001;W96-3;76;3871;56256
202001;W96-3;83;385;474
202001;W96-3;84;6340;16647
202001;W96-3;60;4939;14525
202001;W96-3;61;2117;6342
202001;W96-3;86;2513;9830
202001;W96-3;87;785;3442
202001;W96-4;1;84833;185935
202001;W96-4;2;50522;108179
202001;W96-4;3;17962;44873
202001;W96-4;4;3959;17201
202001;W96-4;70;100;681
202001;W96-4;81;4260;11098
202001;W96-4;73;2977;11149
202001;W96-4;71;2873;48370
202001;W96-4;76;2384;23618
202001;W96-4;83;1094;2035
202001;W96-4;84;8116;20080
202001;W96-4;60;4521;14290
202001;W96-4;61;1223;4485
202001;W96-4;86;5765;20171
202001;W96-4;87;1532;7196
202001;W96-5;1;317595;1204386
202001;W96-5;2;199475;797173
202001;W96-5;3;46926;158263
202001;W96-5;4;106965;646362
202001;W96-5;70;3100;24479
202001;W96-5;81;9724;35236
202001;W96-5;73;52771;243298
202001;W96-5;71;1189;20412
202001;W96-5;76;1904;25082
202001;W96-5;83;2675;8209
202001;W96-5;84;9279;31089
202001;W96-5;60;19479;93227
202001;W96-5;61;9223;47209
202001;W96-5;86;78411;498321
202001;W96-5;87;19846;122349
202001;W96-6;1;140842;405134
202001;W96-6;2;95818;308095
202001;W96-6;3;20318;59605
202001;W96-6;4;41432;211675
202001;W96-6;70;1122;5377
202001;W96-6;81;6489;18486
202001;W96-6;73;1499;5547
202001;W96-6;71;898;17413
202001;W96-6;76;1881;27821
202001;W96-6;83;1780;5030
202001;W96-6;84;6067;27135
202001;W96-6;60;9905;37893
202001;W96-6;61;4370;17919
202001;W96-6;86;22421;115311
202001;W96-6;87;4612;23470
202001;W96-7;1;490157;2135092
202001;W96-7;2;242040;1058624
202001;W96-7;3;147545;646046
202001;W96-7;4;142042;849248
202001;W96-7;70;14765;83152
202001;W96-7;81;8977;42969
202001;W96-7;73;7397;32486
202001;W96-7;71;186;3158
202001;W96-7;76;303;1716
202001;W96-7;83;8532;18253
202001;W96-7;84;9923;38599
202001;W96-7;60;39223;193193
202001;W96-7;61;12088;61440
202001;W96-7;86;180699;1159281
202001;W96-7;87;26830;171790
202001;W96-8;1;102062;388449
202001;W96-8;2;52791;217112
202001;W96-8;3;20294;72855
202001;W96-8;4;22774;134188
202001;W96-8;70;3017;20618
202001;W96-8;81;4237;10625
202001;W96-8;73;2701;9988
202001;W96-8;76;209;533
202001;W96-8;83;4222;5515
202001;W96-8;84;11546;44655
202001;W96-8;60;7871;37608
202001;W96-8;61;945;4270
202001;W96-8;86;37805;223432
202001;W96-8;87;4486;24648
202001;W96-9;1;300214;615946
202001;W96-9;2;130233;281778
202001;W96-9;3;36664;76383
202001;W96-9;4;18919;58029
202001;W96-9;70;66;1036
202001;W96-9;81;23440;52471
202001;W96-9;60;2552;8426
202001;W96-9;86;10448;38809
202002;W96-1;1;39907;88793
202002;W96-1;2;6659;13525
202002;W96-1;3;1333;2977
202002;W96-1;4;855;1738
202002;W96-1;70;46;69
202002;W96-1;81;365;634
202002;W96-1;73;7;8
202002;W96-1;71;413;11277
202002;W96-1;76;1831;26963
202002;W96-1;84;159;493
202002;W96-1;60;975;2060
202002;W96-1;61;220;405
202002;W96-1;86;885;2266
202002;W96-1;87;85;223
202002;W96-2;1;92915;377154
202002;W96-2;2;58846;226989
202002;W96-2;3;9706;36215
202002;W96-2;4;33583;179535
202002;W96-2;70;1487;6025
202002;W96-2;81;5406;20643
202002;W96-2;73;2737;14929
202002;W96-2;71;1257;21979
202002;W96-2;76;945;15734
202002;W96-2;83;510;1559
202002;W96-2;84;7577;36479
202002;W96-2;60;3987;16763
202002;W96-2;61;981;4674
202002;W96-2;86;28344;155054
202002;W96-2;87;5270;29165
202002;W96-3;1;80411;163871
202002;W96-3;2;45524;98449
202002;W96-3;3;18075;49593
202002;W96-3;4;1838;6076
202002;W96-3;70;169;1671
202002;W96-3;81;1948;4841
202002;W96-3;71;993;22106
202002;W96-3;76;3680;56878
202002;W96-3;83;347;535
202002;W96-3;84;7202;21587
202002;W96-3;60;5675;16411
202002;W96-3;61;2305;8126
202002;W96-3;86;3618;13322
202002;W96-3;87;1121;4573
202002;W96-4;1;83682;197197
202002;W96-4;2;50468;121769
202002;W96-4;3;19449;54223
202002;W96-4;4;6357;28891
202002;W96-4;70;171;587
202002;W96-4;81;5766;14696
202002;W96-4;73;3306;12065
202002;W96-4;71;2298;48038
202002;W96-4;76;2425;23077
202002;W96-4;83;1688;4677
202002;W96-4;84;9298;30279
202002;W96-4;60;5133;17356
202002;W96-4;61;1632;6824
202002;W96-4;86;7788;31851
202002;W96-4;87;2711;12728
202002;W96-5;1;351816;1439870
202002;W96-5;2;228007;959523
202002;W96-5;3;53777;200821
202002;W96-5;4;145044;823376
202002;W96-5;70;4737;28096
202002;W96-5;81;9755;36050
202002;W96-5;73;52240;247641
202002;W96-5;71;995;23993
202002;W96-5;76;1827;28414
202002;W96-5;83;3404;13535
202002;W96-5;84;9726;33474
202002;W96-5;60;27754;137978
202002;W96-5;61;15134;77381
202002;W96-5;86;124720;722970
202002;W96-5;87;34139;197789
202002;W96-6;1;142248;429755
202002;W96-6;2;102237;354794
202002;W96-6;3;23178;74625
202002;W96-6;4;51542;273656
202002;W96-6;70;1206;5588
202002;W96-6;81;7127;20476
202002;W96-6;73;1720;6431
202002;W96-6;71;958;20964
202002;W96-6;76;1802;29691
202002;W96-6;83;2159;7031
202002;W96-6;84;7422;33794
202002;W96-6;60;12424;50986
202002;W96-6;61;6849;29945
202002;W96-6;86;33653;176682
202002;W96-6;87;6606;34606
202002;W96-7;1;563697;2562080
202002;W96-7;2;291764;1321884
202002;W96-7;3;170612;791386
202002;W96-7;4;193814;1085783
202002;W96-7;70;22464;107779
202002;W96-7;81;9961;50501
202002;W96-7;73;7320;36434
202002;W96-7;71;165;2933
202002;W96-7;76;530;3868
202002;W96-7;83;11660;24357
202002;W96-7;84;11046;43776
202002;W96-7;60;55000;273180
202002;W96-7;61;17472;90167
202002;W96-7;86;283381;1650974
202002;W96-7;87;45423;267182
202002;W96-8;1;118953;476868
202002;W96-8;2;62560;265754
202002;W96-8;3;24010;89742
202002;W96-8;4;31530;177236
202002;W96-8;70;3493;17088
202002;W96-8;81;4321;11223
202002;W96-8;73;2946;12398
202002;W96-8;76;84;382
202002;W96-8;83;3494;5071
202002;W96-8;84;11684;50250
202002;W96-8;60;10632;51202
202002;W96-8;61;1266;6365
202002;W96-8;86;54887;311899
202002;W96-8;87;6218;35652
202002;W96-9;1;260431;540394
202002;W96-9;2;120723;256655
202002;W96-9;3;36537;78355
202002;W96-9;4;14642;45690
202002;W96-9;70;68;521
202002;W96-9;81;23535;55853
202002;W96-9;60;1975;6562
202002;W96-9;86;10389;39686
202003;W96-1;1;13368;31051
202003;W96-1;2;3068;6936
202003;W96-1;3;667;1735
202003;W96-1;4;256;609
202003;W96-1;70;2;4
202003;W96-1;81;76;212
202003;W96-1;73;1;3
202003;W96-1;71;222;6796
202003;W96-1;76;1127;14341
202003;W96-1;84;73;199
202003;W96-1;60;384;1037
202003;W96-1;61;124;256
202003;W96-1;86;222;1109
202003;W96-1;87;18;47
202003;W96-2;1;24268;102855
202003;W96-2;2;13619;54619
202003;W96-2;3;2139;10966
202003;W96-2;4;5777;42188
202003;W96-2;70;221;1132
202003;W96-2;81;1282;5587
202003;W96-2;73;859;5068
202003;W96-2;71;600;11089
202003;W96-2;76;489;7743
202003;W96-2;83;99;252
202003;W96-2;84;1112;6896
202003;W96-2;60;1879;6317
202003;W96-2;61;179;1036
202003;W96-2;86;4005;28868
202003;W96-2;87;817;5976
202003;W96-3;1;30784;69685
202003;W96-3;2;22303;51306
202003;W96-3;3;7228;20918
202003;W96-3;4;594;2791
202003;W96-3;70;55;1457
202003;W96-3;81;550;1679
202003;W96-3;71;560;11189
202003;W96-3;76;1951;32556
202003;W96-3;83;35;35
202003;W96-3;84;3230;11243
202003;W96-3;60;2222;7711
202003;W96-3;61;1093;3664
202003;W96-3;86;1087;4884
202003;W96-3;87;322;1600
202003;W96-4;1;30439;73461
202003;W96-4;2;20580;48500
202003;W96-4;3;7493;24040
202003;W96-4;4;1318;6926
202003;W96-4;70;30;296
202003;W96-4;81;1711;3528
202003;W96-4;73;1110;3754
202003;W96-4;71;1417;31465
202003;W96-4;76;991;12659
202003;W96-4;83;881;1625
202003;W96-4;84;3332;10428
202003;W96-4;60;1612;7144
202003;W96-4;61;454;2181
202003;W96-4;86;1454;6827
202003;W96-4;87;536;2447
202003;W96-5;1;98025;443459
202003;W96-5;2;59746;292875
202003;W96-5;3;13207;57720
202003;W96-5;4;33191;250715
202003;W96-5;70;946;7608
202003;W96-5;81;2466;10057
202003;W96-5;73;19245;96984
202003;W96-5;71;802;14198
202003;W96-5;76;858;14490
202003;W96-5;83;1069;5031
202003;W96-5;84;2771;11025
202003;W96-5;60;6030;34815
202003;W96-5;61;2927;18594
202003;W96-5;86;24036;191901
202003;W96-5;87;5957;44529
202003;W96-6;1;46240;145218
202003;W96-6;2;32876;118517
202003;W96-6;3;6951;21048
202003;W96-6;4;11739;68476
202003;W96-6;70;505;2722
202003;W96-6;81;1770;4991
202003;W96-6;73;442;1833
202003;W96-6;71;782;17192
202003;W96-6;76;979;17898
202003;W96-6;83;378;1383
202003;W96-6;84;2296;12189
202003;W96-6;60;3331;14716
202003;W96-6;61;1516;6789
202003;W96-6;86;6785;40784
202003;W96-6;87;1262;7779
202003;W96-7;1;163000;802261
202003;W96-7;2;77907;404095
202003;W96-7;3;46454;254183
202003;W96-7;4;45229;345631
202003;W96-7;70;4411;24793
202003;W96-7;81;2309;13641
202003;W96-7;73;2045;11468
202003;W96-7;71;148;1745
202003;W96-7;76;191;1928
202003;W96-7;83;4495;8730
202003;W96-7;84;2911;14128
202003;W96-7;60;13853;82556
202003;W96-7;61;4182;25702
202003;W96-7;86;61040;484881
202003;W96-7;87;9307;72037
202003;W96-8;1;35947;152540
202003;W96-8;2;18759;87388
202003;W96-8;3;6855;28510
202003;W96-8;4;7790;56841
202003;W96-8;70;1121;6416
202003;W96-8;81;1276;4113
202003;W96-8;73;1241;6084
202003;W96-8;76;61;120
202003;W96-8;83;1232;1619
202003;W96-8;84;4372;19491
202003;W96-8;60;2778;15918
202003;W96-8;61;364;2006
202003;W96-8;86;13212;94390
202003;W96-8;87;1287;8946
202003;W96-9;1;81357;178988
202003;W96-9;2;42513;96976
