C-SDB_TIT-0;C-W96-0;C-SDB_BBTR-0;F-ANK;F-UEB
201903;W96-4;76;2768;25903
201903;W96-4;83;2111;4080
201903;W96-4;84;6688;15555
201903;W96-4;60;5540;17538
201903;W96-4;61;1207;4767
201903;W96-4;86;4708;16746
201903;W96-4;87;1691;7536
201903;W96-5;1;297597;1053032
201903;W96-5;2;186546;688847
201903;W96-5;3;46033;147287
201903;W96-5;4;91815;516429
201903;W96-5;70;3159;19258
201903;W96-5;81;11581;33493
201903;W96-5;73;48975;214324
201903;W96-5;71;1384;29818
201903;W96-5;76;1547;23965
201903;W96-5;83;3497;12638
201903;W96-5;84;10326;30585
201903;W96-5;60;17497;82886
201903;W96-5;61;8509;42772
201903;W96-5;86;70336;408265
201903;W96-5;87;18028;103539
201903;W96-6;1;136013;367788
201903;W96-6;2;89611;264440
201903;W96-6;3;18163;52282
201903;W96-6;4;34410;159225
201903;W96-6;70;1359;4874
201903;W96-6;81;9156;22216
201903;W96-6;73;914;2518
201903;W96-6;71;877;19974
201903;W96-6;76;1708;30640
201903;W96-6;83;1844;4834
201903;W96-6;84;6977;25711
201903;W96-6;60;9937;37305
201903;W96-6;61;4438;16469
201903;W96-6;86;17663;87460
201903;W96-6;87;3423;16571
201903;W96-7;1;485028;1994268
201903;W96-7;2;247560;1003244
201903;W96-7;3;151206;613717
201903;W96-7;4;134199;747375
201903;W96-7;70;15917;75087
201903;W96-7;81;7832;35892
201903;W96-7;73;6657;30503
201903;W96-7;71;177;3157
201903;W96-7;76;406;3489
201903;W96-7;83;17405;31609
201903;W96-7;84;9565;37991
201903;W96-7;60;41925;200619
201903;W96-7;61;12654;60528
201903;W96-7;86;181812;1072729
201903;W96-7;87;27214;159957
201903;W96-8;1;108027;397977
201903;W96-8;2;56729;221661
201903;W96-8;3;22489;81143
201903;W96-8;4;21179;119095
201903;W96-8;70;4272;21821
201903;W96-8;81;4668;11069
201903;W96-8;73;2323;8622
201903;W96-8;76;256;707
201903;W96-8;83;3526;5083
201903;W96-8;84;10313;40972
201903;W96-8;60;9181;42660
201903;W96-8;61;1039;4613
201903;W96-8;86;38518;216491
201903;W96-8;87;4253;23723
201903;W96-9;1;318679;666195
201903;W96-9;2;169026;367532
201903;W96-9;3;38508;83030
201903;W96-9;4;17429;55512
201903;W96-9;70;225;1137
201903;W96-9;81;26751;60708
201903;W96-9;60;3627;11499
201903;W96-9;86;10711;39446
201904;W96-1;1;43418;103335
201904;W96-1;2;16632;35287
201904;W96-1;3;2766;6421
201904;W96-1;4;1171;3035
201904;W96-1;70;12122;31642
201904;W96-1;81;741;1493
201904;W96-1;73;3;3
201904;W96-1;71;454;11098
201904;W96-1;76;1957;29009
201904;W96-1;84;779;1492
201904;W96-1;60;3275;6944
201904;W96-1;61;1839;4885
201904;W96-1;86;2692;8888
201904;W96-1;87;407;1302
201904;W96-2;1;47295;134711
201904;W96-2;2;28961;66232
201904;W96-2;3;7792;22172
201904;W96-2;4;4269;16883
201904;W96-2;70;7954;22470
201904;W96-2;81;2136;4456
201904;W96-2;73;723;4803
201904;W96-2;71;1165;22337
201904;W96-2;76;822;10341
201904;W96-2;83;109;633
201904;W96-2;84;2497;8710
201904;W96-2;60;2129;7099
201904;W96-2;61;498;2487
201904;W96-2;86;5608;25279
201904;W96-2;87;1107;5512
201904;W96-3;1;106134;209980
201904;W96-3;2;71535;138411
201904;W96-3;3;19966;42677
201904;W96-3;4;2809;7861
201904;W96-3;70;5773;15112
201904;W96-3;81;2387;4697
201904;W96-3;71;1063;22803
201904;W96-3;76;3546;56876
201904;W96-3;83;425;452
201904;W96-3;84;9217;24950
201904;W96-3;60;8454;23365
201904;W96-3;61;4988;13270
201904;W96-3;86;2889;10086
201904;W96-3;87;1901;6018
201904;W96-4;1;91442;188035
201904;W96-4;2;60685;113734
201904;W96-4;3;26159;62493
201904;W96-4;4;3265;9503
201904;W96-4;70;5563;14158
201904;W96-4;81;7081;11758
201904;W96-4;73;1885;5381
201904;W96-4;71;3086;63455
201904;W96-4;76;2706;26553
201904;W96-4;83;555;653
201904;W96-4;84;5857;14456
201904;W96-4;60;6815;20738
201904;W96-4;61;1576;5499
201904;W96-4;86;5920;16189
201904;W96-4;87;2322;9143
201904;W96-5;1;179649;472119
201904;W96-5;2;97057;236728
201904;W96-5;3;30036;61896
201904;W96-5;4;28768;145164
201904;W96-5;70;8197;32403
201904;W96-5;81;7639;20185
201904;W96-5;73;14234;97559
201904;W96-5;71;1461;30091
201904;W96-5;76;1575;24027
201904;W96-5;83;935;2165
201904;W96-5;84;7466;19014
201904;W96-5;60;6380;23387
201904;W96-5;61;2463;13172
201904;W96-5;86;20186;104621
201904;W96-5;87;5318;28442
201904;W96-6;1;109034;273838
201904;W96-6;2;65180;154435
201904;W96-6;3;13827;32078
201904;W96-6;4;11005;39258
201904;W96-6;70;4955;14404
201904;W96-6;81;6412;13802
201904;W96-6;73;634;1606
201904;W96-6;71;923;20674
201904;W96-6;76;1905;29342
201904;W96-6;83;375;1005
201904;W96-6;84;5079;20620
201904;W96-6;60;7734;25671
201904;W96-6;61;4929;13934
201904;W96-6;86;6438;27528
201904;W96-6;87;2014;7603
201904;W96-7;1;275077;980048
201904;W96-7;2;128723;392951
201904;W96-7;3;77264;224616
201904;W96-7;4;53885;280600
201904;W96-7;70;21399;71677
201904;W96-7;81;3283;11522
201904;W96-7;73;1903;10295
201904;W96-7;71;187;3054
201904;W96-7;76;207;2997
201904;W96-7;83;12328;18429
201904;W96-7;84;5557;19932
201904;W96-7;60;15712;66560
201904;W96-7;61;4239;19465
201904;W96-7;86;72102;388646
201904;W96-7;87;11018;59121
201904;W96-8;1;55457;163489
201904;W96-8;2;24324;70774
201904;W96-8;3;10246;30513
201904;W96-8;4;6564;33387
201904;W96-8;70;5574;25315
201904;W96-8;81;3161;7217
201904;W96-8;73;1093;3614
201904;W96-8;76;128;286
201904;W96-8;83;945;2043
201904;W96-8;84;5149;17676
201904;W96-8;60;2854;13354
201904;W96-8;61;265;983
201904;W96-8;86;11290;58327
201904;W96-8;87;1566;7926
201904;W96-9;1;353828;771393
201904;W96-9;2;193620;439475
201904;W96-9;3;48870;113196
201904;W96-9;4;24779;77775
201904;W96-9;70;3027;9294
201904;W96-9;81;33553;78201
201904;W96-9;60;5445;17771
201904;W96-9;86;16475;60643
201905;W96-1;1;44443;98265
201905;W96-1;2;25959;54924
201905;W96-1;3;5133;14040
201905;W96-1;4;1362;4149
201905;W96-1;70;13454;34928
201905;W96-1;81;866;1814
201905;W96-1;73;332;1260
201905;W96-1;71;368;11012
201905;W96-1;76;2092;29146
201905;W96-1;84;1246;2829
201905;W96-1;60;4495;10631
201905;W96-1;61;2373;7461
201905;W96-1;86;3032;11111
201905;W96-1;87;522;1848
201905;W96-2;1;80301;216729
201905;W96-2;2;61981;158954
201905;W96-2;3;14944;42014
201905;W96-2;4;17033;65763
201905;W96-2;70;26194;128879
201905;W96-2;81;5164;11261
201905;W96-2;73;514;2149
201905;W96-2;71;1348;24124
201905;W96-2;76;960;10977
201905;W96-2;83;69;94
201905;W96-2;84;6989;23326
201905;W96-2;60;5153;16902
201905;W96-2;61;947;3763
201905;W96-2;86;10814;49209
201905;W96-2;87;1500;7496
201905;W96-3;1;132776;250564
201905;W96-3;2;89580;166898
201905;W96-3;3;30973;61805
201905;W96-3;4;2920;8322
201905;W96-3;70;9148;24040
201905;W96-3;81;3960;8346
201905;W96-3;71;1188;23854
201905;W96-3;76;3593;58010
201905;W96-3;83;2074;2285
201905;W96-3;84;11982;31474
201905;W96-3;60;11579;29297
201905;W96-3;61;6744;16781
201905;W96-3;86;3673;12459
201905;W96-3;87;2311;6725
201905;W96-4;1;110396;211912
201905;W96-4;2;78318;147129
201905;W96-4;3;34594;75043
201905;W96-4;4;4102;11358
201905;W96-4;70;7846;17017
201905;W96-4;81;9763;18623
201905;W96-4;73;2267;7574
201905;W96-4;71;2929;63399
201905;W96-4;76;2801;27780
201905;W96-4;83;1057;1273
201905;W96-4;84;9638;21943
201905;W96-4;60;8332;23698
201905;W96-4;61;2396;7720
201905;W96-4;86;7201;19848
201905;W96-4;87;2981;10129
201905;W96-5;1;187462;396319
201905;W96-5;2;108164;219636
201905;W96-5;3;31575;55280
201905;W96-5;4;18013;65799
201905;W96-5;70;10126;28156
201905;W96-5;81;9170;19747
201905;W96-5;73;13971;49700
201905;W96-5;71;1208;27047
201905;W96-5;76;1739;29225
201905;W96-5;83;508;1667
201905;W96-5;84;7483;17955
201905;W96-5;60;6543;21192
201905;W96-5;61;2628;10549
201905;W96-5;86;13154;51577
201905;W96-5;87;4442;18384
201905;W96-6;1;132178;307275
201905;W96-6;2;89353;195344
201905;W96-6;3;17039;34758
201905;W96-6;4;12198;32898
201905;W96-6;70;9557;27176
201905;W96-6;81;8867;19800
201905;W96-6;73;990;3037
201905;W96-6;71;995;20365
201905;W96-6;76;2018;29560
201905;W96-6;83;788;916
201905;W96-6;84;6549;22464
201905;W96-6;60;9672;29574
201905;W96-6;61;7551;19525
201905;W96-6;86;7482;26898
201905;W96-6;87;2677;9081
201905;W96-7;1;224179;572611
201905;W96-7;2;125098;283756
201905;W96-7;3;72438;141133
201905;W96-7;4;24089;84953
201905;W96-7;70;21881;53946
201905;W96-7;81;3937;7372
201905;W96-7;73;2349;5894
201905;W96-7;71;175;3155
201905;W96-7;76;149;2539
201905;W96-7;83;4106;4561
201905;W96-7;84;9291;22112
201905;W96-7;60;8742;31780
201905;W96-7;61;3306;13488
201905;W96-7;86;32882;140760
201905;W96-7;87;6967;32164
201905;W96-8;1;51173;105745
201905;W96-8;2;26063;60763
201905;W96-8;3;11267;23556
201905;W96-8;4;5115;16117
201905;W96-8;70;5352;17452
201905;W96-8;81;3649;7874
201905;W96-8;73;1638;4484
201905;W96-8;76;97;214
201905;W96-8;83;236;300
201905;W96-8;84;5921;14274
201905;W96-8;60;1569;5945
201905;W96-8;61;292;756
201905;W96-8;86;9152;31780
201905;W96-8;87;1585;5616
201905;W96-9;1;378255;786570
201905;W96-9;2;202083;443343
201905;W96-9;3;49653;106829
201905;W96-9;4;24808;72082
201905;W96-9;70;2663;9435
201905;W96-9;81;35188;78419
201905;W96-9;60;5466;16524
201905;W96-9;86;15566;55681
201906;W96-1;1;44430;109926
201906;W96-1;2;29832;68032
201906;W96-1;3;6472;17338
201906;W96-1;4;1797;5997
201906;W96-1;70;23009;64620
201906;W96-1;81;994;1910
201906;W96-1;73;245;923
201906;W96-1;71;254;7895
201906;W96-1;76;1736;26549
201906;W96-1;84;1817;3856
201906;W96-1;60;5883;15568
201906;W96-1;61;3132;9691
201906;W96-1;86;4533;18632
201906;W96-1;87;684;2820
201906;W96-2;1;128486;416432
201906;W96-2;2;110287;299432
201906;W96-2;3;27475;70666
201906;W96-2;4;32148;146339
201906;W96-2;70;78605;406599
201906;W96-2;81;7840;16318
201906;W96-2;73;1404;4959
201906;W96-2;71;1263;23323
201906;W96-2;76;1107;10436
201906;W96-2;83;2956;3283
201906;W96-2;84;11451;38484
201906;W96-2;60;8303;28109
201906;W96-2;61;2175;9717
201906;W96-2;86;19388;98946
201906;W96-2;87;4243;24278
201906;W96-3;1;132771;251773
201906;W96-3;2;98462;183651
201906;W96-3;3;34257;67684
201906;W96-3;4;3936;9641
201906;W96-3;70;18400;48444
201906;W96-3;81;5015;9989
201906;W96-3;71;988;22189
201906;W96-3;76;3397;57461
201906;W96-3;83;4102;4399
201906;W96-3;84;15234;37440
201906;W96-3;60;14832;35748
201906;W96-3;61;8411;21257
201906;W96-3;86;4711;17694
201906;W96-3;87;2774;8630
201906;W96-4;1;119880;247935
201906;W96-4;2;92262;189219
201906;W96-4;3;42935;94625
201906;W96-4;4;7082;24336
201906;W96-4;70;28280;75385
201906;W96-4;81;11022;20447
201906;W96-4;73;3823;10446
201906;W96-4;71;2849;60748
201906;W96-4;76;2774;26677
201906;W96-4;83;6237;7407
201906;W96-4;84;14038;29916
201906;W96-4;60;11924;33114
201906;W96-4;61;4218;13609
201906;W96-4;86;12014;38085
201906;W96-4;87;5130;20669
201906;W96-5;1;290846;828667
201906;W96-5;2;181660;469208
201906;W96-5;3;46269;93501
201906;W96-5;4;46977;203824
201906;W96-5;70;33787;117342
201906;W96-5;81;12901;27460
201906;W96-5;73;19488;66815
201906;W96-5;71;1210;25249
201906;W96-5;76;1637;28245
201906;W96-5;83;2742;7727
201906;W96-5;84;10337;26407
201906;W96-5;60;13073;44549
201906;W96-5;61;7146;30173
201906;W96-5;86;35885;161809
201906;W96-5;87;12998;64588
201906;W96-6;1;142072;378929
201906;W96-6;2;125401;305493
201906;W96-6;3;25099;52709
201906;W96-6;4;23953;85026
201906;W96-6;70;42032;122489
201906;W96-6;81;9674;22926
201906;W96-6;73;1936;5840
201906;W96-6;71;914;19691
201906;W96-6;76;2035;28963
201906;W96-6;83;7560;9379
201906;W96-6;84;9736;27995
201906;W96-6;60;14699;44006
201906;W96-6;61;10343;30598
201906;W96-6;86;14969;61703
201906;W96-6;87;4983;20499
201906;W96-7;1;374930;1230892
201906;W96-7;2;216948;627625
201906;W96-7;3;120519;296291
201906;W96-7;4;57315;249504
201906;W96-7;70;75916;274571
201906;W96-7;81;5611;11435
201906;W96-7;73;3652;12514
201906;W96-7;71;182;3042
201906;W96-7;76;367;3287
201906;W96-7;83;33829;42793
201906;W96-7;84;12074;36401
201906;W96-7;60;21376;78864
201906;W96-7;61;7802;34621
201906;W96-7;86;72721;379248
201906;W96-7;87;16096;87723
201906;W96-8;1;68766;181236
201906;W96-8;2;42657;121488
201906;W96-8;3;17792;44622
201906;W96-8;4;11329;52782
201906;W96-8;70;16684;58352
201906;W96-8;81;4376;10077
201906;W96-8;73;2023;6850
201906;W96-8;76;201;381
201906;W96-8;83;3752;6463
201906;W96-8;84;8010;25857
201906;W96-8;60;3689;15186
201906;W96-8;61;577;2329
201906;W96-8;86;19085;93509
201906;W96-8;87;3196;16159
201906;W96-9;1;380042;798902
201906;W96-9;2;187993;419985
201906;W96-9;3;51019;110660
201906;W96-9;4;26268;77217
201906;W96-9;70;5436;18036
201906;W96-9;81;34700;77418
201906;W96-9;60;5432;16195
201906;W96-9;86;16217;56503
201907;W96-1;1;48669;129638
201907;W96-1;2;34826;78744
201907;W96-1;3;8259;20906
201907;W96-1;4;2561;9207
201907;W96-1;70;25371;77730
201907;W96-1;81;1822;4921
201907;W96-1;73;301;1372
201907;W96-1;71;275;8310
201907;W96-1;76;1797;26879
201907;W96-1;84;2178;5957
201907;W96-1;60;7974;22284
201907;W96-1;61;3845;12210
201907;W96-1;86;5975;28230
201907;W96-1;87;748;3746
201907;W96-2;1;141530;578548
201907;W96-2;2;137389;461653
201907;W96-2;3;36506;118913
201907;W96-2;4;42878;282708
201907;W96-2;70;120812;743507
201907;W96-2;81;10323;25551
201907;W96-2;73;2896;15686
201907;W96-2;71;1331;24536
201907;W96-2;76;974;10982
201907;W96-2;83;9580;11255
201907;W96-2;84;10964;58248
